team,link,works
angels,http://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/laa.png&h=150&w=150,n
rangers,http://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/tex.png,y
braves,http://cdn.bleacherreport.net/images/team_logos/328x328/atlanta_braves.png,y
orioles,http://content.sportslogos.net/logos/53/52/full/4bmrvfygivt6dgyw9hntp3aqc.png,y
red sox,http://vignette2.wikia.nocookie.net/mlbtheshow/images/9/9a/Boston_Red_Sox_Logo.png/revision/latest?cb=20111229213234,y
cubs,http://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/chc.png,y
white sox,http://tsnimages.tsn.ca/ImageProvider/TeamLogo?seoId=chicago-white-sox,y
reds,http://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/cin.png,y
indians,http://cdn.bleacherreport.net/images/team_logos/328x328/cleveland_indians.png,y
rockies,http://cdn.bleacherreport.net/images/team_logos/328x328/colorado_rockies.png,y
tigers,http://2.bp.blogspot.com/-CYK2Wibn0zI/VC2C1bhKvSI/AAAAAAAAFOU/i7VIO85_Lw4/s1600/Logo%2BDetroit%2BTigers.png,y
astros,http://content.sportslogos.net/logos/54/61/full/9yawe88ejagf9jthh3h3.gif,y
royals,http://vignette3.wikia.nocookie.net/logopedia/images/b/b0/Kansas_City_Royals.png/revision/latest?cb=20100917041526,y
dodgers,http://www.stickpng.com/assets/thumbs/584d3e7c0a44bd1070d5d3d5.png,y
marlins,http://www.stickpng.com/assets/images/584d439b0a44bd1070d5d42e.png,y
brewers,http://vafloc01.s3.amazonaws.com/WBStatic/site1101343/img/logos/logo-brewers.png,y
twins,http://www.centurylink.com/local/images/sponsor/11.png,y
mets,http://logos-download.com/wp-content/uploads/2016/04/New_York_Mets_logo_alternate.png,y
yankees,http://logok.org/wp-content/uploads/2015/02/New-York-Yankees-logo-880x660.png,y
athletics,http://vignette3.wikia.nocookie.net/logopedia/images/4/4f/Oakland_Athletics.png/revision/latest?cb=20100925024259,y
phillies,http://www.clker.com/cliparts/d/5/6/7/1369024621840279006phillies_logo_zps1bec7b54-md.png,y
diamondbacks,http://www.grayflannelsuit.net/blog/wp-content/uploads/2012/02/arizona-diamondbacks-alternate-logo-2007.gif,y
pirates,http://www.stickpng.com/assets/thumbs/584d40380a44bd1070d5d3f6.png,y
padres,http://www.stickpng.com/assets/images/584d3e250a44bd1070d5d3cf.png,y
mariners,http://www.indianheadcasino.com/wp-content/uploads/2016/04/MarinersLogo-transparent-300x300.png,y
giants,http://www.sporttechie.com/wp-content/uploads/2016/12/b82330446183f91ce8d03a702e2b4509.png,y
cardinals,http://www.stickpng.com/assets/images/584d3fbf0a44bd1070d5d3ec.png,y
rays,http://www.alabamanews.net/wp-content/uploads/2016/07/rays-baseball-logo1-1.png,y
jays,http://www.stickpng.com/assets/thumbs/584d473d0a44bd1070d5d456.png,y
nationals,http://www.stickpng.com/assets/images/584d42180a44bd1070d5d418.png,y
